title_id,average_rating,num_votes
tt0000009,5.8,189
tt0000574,6.1,691
tt0001892,5.9,213
tt0002101,5.1,516
tt0002130,7.0,2627
tt0002199,5.8,564
tt0002423,6.7,851
tt0002445,6.2,343
tt0002452,6.5,230
tt0002461,5.7,266
tt0002646,6.6,392
tt0002844,7.0,2150
tt0003014,7.0,1131
tt0003037,7.0,1482
tt0003102,6.3,123
tt0003131,6.7,147
tt0003165,7.0,1161
tt0003167,5.8,243
tt0003419,6.5,1985
tt0003471,6.0,657
tt0003489,6.1,535
tt0003637,6.4,431
tt0003643,6.4,1241
tt0003657,6.5,190
tt0003740,7.1,3396
tt0003772,6.0,1000
tt0003883,7.4,357
tt0003930,6.9,1271
tt0003973,5.7,242
tt0004026,6.8,1132
tt0004066,7.0,574
tt0004099,5.2,470
tt0004134,6.5,578
tt0004150,5.9,460
tt0004181,6.1,1338
tt0004457,5.5,458
tt0004465,6.3,1018
tt0004635,5.7,954
tt0004681,6.0,225
tt0004707,6.3,3437
tt0004712,6.2,194
tt0004743,5.4,150
tt0004766,5.6,209
tt0004825,6.4,292
tt0004838,5.7,170
tt0004872,6.6,244
tt0004873,6.1,473
tt0004972,6.3,23750
tt0005060,6.4,979
tt0005078,6.6,2493
tt0005149,6.0,288
tt0005339,5.8,886
tt0005402,6.6,224
tt0005529,6.8,318
tt0005557,6.6,366
tt0005680,5.9,165
tt0005719,5.5,180
tt0005809,6.1,321
tt0005916,6.9,866
tt0005951,6.9,684
tt0005960,6.9,1236
tt0006206,7.3,4530
tt0006327,6.0,180
tt0006333,6.2,1667
tt0006509,4.6,589
tt0006517,6.0,352
tt0006589,6.7,156
tt0006617,6.2,252
tt0006688,6.4,178
tt0006731,5.3,643
tt0006736,6.6,220
tt0006745,6.0,509
tt0006753,6.6,182
tt0006780,6.8,938
tt0006809,5.9,158
tt0006826,5.6,890
tt0006864,7.7,14897
tt0006886,7.4,953
tt0007047,6.0,617
tt0007183,6.9,692
tt0007257,5.0,603
tt0007260,6.4,172
tt0007309,5.6,221
tt0007338,6.3,382
tt0007340,6.9,503
tt0007361,6.3,392
tt0007367,5.4,548
tt0007522,5.7,130
tt0007558,6.3,702
tt0007610,5.8,312
tt0007755,6.0,545
tt0007801,6.5,348
tt0007983,6.2,157
tt0008011,6.1,158
tt0008100,6.5,676
tt0008150,6.5,573
tt0008188,6.1,673
tt0008196,5.9,684
tt0008279,6.4,128
tt0008309,6.7,297
tt0008395,7.0,524
tt0008443,6.7,1389
tt0008489,6.5,160
tt0008499,6.2,835
tt0008519,5.9,812
tt0008536,7.0,176
tt0008634,6.3,492
tt0008652,6.1,137
tt0008663,7.4,1825
tt0008672,6.1,214
tt0008679,4.8,503
tt0008687,6.1,164
tt0008710,6.7,207
tt0008775,6.5,619
tt0008827,5.9,795
tt0008843,5.8,149
tt0008854,5.4,624
tt0008879,7.2,1751
tt0008891,6.9,880
tt0008930,5.9,148
tt0008950,6.0,309
tt0009014,6.0,182
tt0009062,6.2,570
tt0009086,5.4,308
tt0009150,6.5,975
tt0009153,6.1,217
tt0009241,5.2,629
tt0009326,6.5,142
tt0009356,5.3,655
tt0009369,5.9,1114
tt0009440,6.4,211
tt0009475,4.5,512
tt0009559,6.1,390
tt0009608,5.2,736
tt0009611,7.3,6513
tt0009652,6.7,1443
tt0009682,5.8,779
tt0009701,7.1,345
tt0009737,6.0,129
tt0009796,6.8,307
tt0009878,7.0,1229
tt0009892,5.8,1142
tt0009893,7.2,1792
tt0009894,7.1,200
tt0009900,6.3,914
tt0009915,7.2,264
tt0009937,7.0,1448
tt0009968,7.3,9905
tt0009976,5.8,706
tt0010040,6.5,1392
tt0010060,6.0,858
tt0010071,6.6,1196
tt0010103,5.5,677
tt0010137,5.8,734
tt0010162,6.3,232
tt0010193,5.8,718
tt0010195,6.8,285
tt0010208,5.6,663
tt0010219,4.3,391
tt0010227,5.9,547
tt0010247,7.2,1332
tt0010267,6.7,977
tt0010281,6.8,1390
tt0010298,6.8,156
tt0010307,7.7,1653
tt0010323,8.1,59985
tt0010418,7.0,1829
tt0010456,6.0,196
tt0010466,6.7,243
tt0010484,6.9,197
tt0010559,6.4,171
tt0010598,6.6,920
tt0010600,7.4,1867
tt0010635,5.3,624
tt0010662,5.0,454
tt0010680,6.4,264
tt0010726,6.6,1187
tt0010755,6.9,203
tt0010806,7.0,1747
tt0010821,6.5,508
tt0010844,6.5,392
tt0010853,6.6,185
tt0010879,6.9,861
tt0010890,6.5,407
tt0010925,5.5,769
tt0010953,6.3,177
tt0010962,6.6,670
tt0010964,7.9,150
tt0010969,6.7,376
tt0011000,6.6,1235
tt0011130,7.0,5156
tt0011157,6.5,862
tt0011173,6.2,143
tt0011193,6.5,351
tt0011217,6.3,390
tt0011221,6.0,962
tt0011237,7.2,7225
tt0011267,5.2,287
tt0011294,7.2,189
tt0011302,6.9,225
tt0011317,6.2,178
tt0011344,6.2,157
tt0011358,6.6,398
tt0011369,5.8,119
tt0011370,6.8,416
tt0011371,6.6,314
tt0011387,6.7,1236
tt0011414,5.2,162
tt0011415,6.0,148
tt0011439,7.1,2393
tt0011440,6.6,232
tt0011474,6.5,170
tt0011513,5.7,255
tt0011588,6.5,417
tt0011607,7.2,1239
tt0011623,5.7,173
tt0011641,6.5,196
tt0011647,5.7,151
tt0011652,6.1,1535
tt0011679,5.9,304
tt0011716,5.4,617
tt0011723,6.3,883
tt0011741,6.3,246
tt0011742,6.1,710
tt0011753,5.4,214
tt0011779,6.4,221
tt0011833,6.9,488
tt0011837,6.0,442
tt0011841,7.4,5325
tt0011865,6.7,1419
tt0011870,6.4,2862
tt0011904,6.8,1198
tt0011908,6.0,132
tt0011909,6.6,1284
tt0011948,6.8,416
tt0011960,6.9,1142
tt0011979,6.8,571
tt0012016,6.2,186
tt0012027,6.6,929
tt0012068,6.8,452
tt0012122,5.6,182
tt0012125,6.5,127
tt0012134,7.0,428
tt0012136,6.3,295
tt0012187,6.6,160
tt0012190,7.2,3237
tt0012249,7.0,442
tt0012281,6.8,253
tt0012313,6.8,331
tt0012314,6.7,285
tt0012334,6.8,244
tt0012349,8.3,119315
tt0012364,8.1,11513
tt0012382,6.1,307
tt0012397,6.8,315
tt0012408,6.5,368
tt0012465,6.9,353
tt0012486,6.2,272
tt0012494,7.6,5717
tt0012513,6.5,249
tt0012532,7.3,5009
tt0012538,6.6,564
tt0012631,6.6,166
tt0012642,6.9,1034
tt0012645,6.6,144
tt0012650,6.4,245
tt0012651,6.2,1751
tt0012675,6.3,3299
tt0012699,6.0,139
tt0012745,6.7,159
tt0012752,7.0,946
tt0012755,6.8,183
tt0012763,6.9,1839
tt0012769,6.0,171
tt0012806,6.0,425
tt0012928,6.0,832
tt0012938,6.7,2312
tt0012952,6.4,1339
tt0012973,6.9,672
tt0012975,6.1,281
tt0013033,7.1,387
tt0013059,6.3,447
tt0013075,7.1,1367
tt0013085,6.1,369
tt0013122,6.5,176
tt0013134,6.2,201
tt0013140,7.0,3391
tt0013169,6.5,478
tt0013201,7.0,1755
tt0013223,5.0,282
tt0013332,6.7,296
tt0013367,5.4,272
tt0013372,6.2,464
tt0013386,6.6,351
tt0013402,6.6,388
tt0013404,6.4,340
tt0013428,6.8,134
tt0013442,7.9,91894
tt0013450,6.7,841
tt0013469,6.4,266
tt0013496,6.9,1723
tt0013515,6.7,500
tt0013556,7.1,2147
tt0013571,6.6,919
tt0013574,6.9,131
tt0013579,6.8,968
tt0013590,6.1,125
tt0013592,6.2,448
tt0013597,5.8,632
tt0013607,5.8,208
tt0013619,6.0,197
tt0013662,7.0,464
tt0013674,7.0,559
tt0013688,6.6,720
tt0013704,6.0,179
tt0013705,5.3,160
tt0013741,6.5,514
tt0013750,6.4,1019
tt0013802,6.2,398
tt0013830,7.0,160
tt0013909,5.4,353
tt0013933,7.5,1227
tt0013951,6.6,602
tt0014029,6.6,1136
tt0014108,7.0,169
tt0014109,7.1,1207
tt0014112,5.2,143
tt0014142,7.2,5190
tt0014205,6.2,944
tt0014341,7.8,10726
tt0014358,7.3,4792
tt0014397,6.7,297
tt0014416,6.5,374
tt0014417,7.5,2147
tt0014429,8.1,19521
tt0014440,7.0,594
tt0014446,6.7,274
tt0014463,6.5,477
tt0014497,7.0,899
tt0014516,7.0,388
tt0014524,6.2,157
tt0014532,6.8,2155
tt0014538,7.1,4263
tt0014586,6.6,1971
tt0014604,6.3,191
tt0014605,6.8,451
tt0014606,6.2,186
tt0014611,7.4,1702
tt0014624,7.0,5187
tt0014636,6.2,853
tt0014646,6.5,2482
tt0014672,6.3,427
tt0014702,6.7,455
tt0014721,5.8,209
tt0014760,6.9,232
tt0014770,6.5,248
tt0014826,5.6,144
tt0014854,6.9,150
tt0014869,6.6,651
tt0014874,6.4,165
tt0014898,6.7,595
tt0014900,6.4,859
tt0014925,6.1,163
tt0014945,7.7,3289
tt0014972,7.8,3594
tt0014982,6.9,277
tt0015002,7.1,1331
tt0015014,7.2,839
tt0015016,7.2,2111
tt0015018,6.8,342
tt0015022,5.5,710
tt0015036,6.7,163
tt0015064,8.1,13374
tt0015116,6.5,1053
tt0015119,7.1,1209
tt0015136,7.1,1759
tt0015145,5.8,483
tt0015163,7.7,9531
tt0015167,6.6,958
tt0015174,7.9,4266
tt0015175,8.1,5583
tt0015200,5.1,122
tt0015202,7.0,2719
tt0015213,6.7,160
tt0015214,7.2,1703
tt0015224,7.1,1013
tt0015268,7.1,463
tt0015289,6.2,211
tt0015310,7.1,520
tt0015312,5.6,234
tt0015324,8.2,45394
tt0015361,7.6,7530
tt0015400,7.7,5915
tt0015493,6.2,229
tt0015498,6.8,496
tt0015500,6.0,370
tt0015518,8.1,142
tt0015532,7.8,5835
tt0015624,7.9,6548
tt0015634,6.2,919
tt0015643,6.9,198
tt0015648,8.0,55214
tt0015684,6.1,632
tt0015687,6.6,281
tt0015693,6.4,736
tt0015758,6.9,481
tt0015768,7.1,1970
tt0015772,6.6,1906
tt0015794,6.4,192
tt0015801,7.1,367
tt0015841,7.6,5262
tt0015842,7.2,1526
tt0015847,5.9,122
tt0015861,6.6,554
tt0015863,7.2,4104
tt0015864,8.2,105830
tt0015872,6.9,175
tt0015881,8.1,9528
tt0015883,6.8,256
tt0015909,6.6,176
tt0015935,6.6,136
tt0016004,7.3,1108
tt0016005,6.4,675
tt0016006,5.1,142
tt0016013,7.2,523
tt0016023,6.2,501
tt0016028,6.7,947
tt0016029,7.1,1615
tt0016039,7.0,4951
tt0016104,7.3,2360
tt0016123,6.2,1059
tt0016142,6.5,132
tt0016185,7.1,372
tt0016201,6.1,238
tt0016205,6.9,146
tt0016220,7.6,17553
tt0016226,6.0,319
tt0016230,5.9,2367
tt0016232,7.0,236
tt0016240,6.7,155
tt0016241,3.6,239
tt0016258,7.1,346
tt0016276,6.5,344
tt0016288,6.3,204
